family_id,topic_id,variants,unique_prompt_parameter_pairs,meets_100_variants,answer_kind,correct_wrong_nonfinite_checks,expert_reviewed,first_id,last_id
graph-equilibrium_temperature-change,7.9,100,100,True,numeric,pass,False,G-equilibrium_temperature-01-change,G-equilibrium_temperature-100-change
graph-equilibrium_temperature-difference_of_changes,7.9,100,100,True,numeric,pass,False,G-equilibrium_temperature-01-difference_of_changes,G-equilibrium_temperature-100-difference_of_changes
graph-equilibrium_temperature-read,7.9,100,100,True,numeric,pass,False,G-equilibrium_temperature-01-read,G-equilibrium_temperature-100-read
graph-equilibrium_temperature-secant,7.9,100,100,True,numeric,pass,False,G-equilibrium_temperature-01-secant,G-equilibrium_temperature-100-secant
graph-first_order-change,5.3,100,100,True,numeric,pass,False,G-first_order-01-change,G-first_order-100-change
graph-first_order-difference_of_changes,5.3,100,100,True,numeric,pass,False,G-first_order-01-difference_of_changes,G-first_order-100-difference_of_changes
graph-first_order-read,5.3,100,100,True,numeric,pass,False,G-first_order-01-read,G-first_order-100-read
graph-first_order-secant,5.3,100,100,True,numeric,pass,False,G-first_order-01-secant,G-first_order-100-secant
graph-gas_pt-change,3.4,100,100,True,numeric,pass,False,G-gas_pt-01-change,G-gas_pt-100-change
graph-gas_pt-difference_of_changes,3.4,100,100,True,numeric,pass,False,G-gas_pt-01-difference_of_changes,G-gas_pt-100-difference_of_changes
graph-gas_pt-read,3.4,100,100,True,numeric,pass,False,G-gas_pt-01-read,G-gas_pt-100-read
graph-gas_pt-secant,3.4,100,100,True,numeric,pass,False,G-gas_pt-01-secant,G-gas_pt-100-secant
graph-gas_pv-change,3.4,100,100,True,numeric,pass,False,G-gas_pv-01-change,G-gas_pv-100-change
graph-gas_pv-difference_of_changes,3.4,100,100,True,numeric,pass,False,G-gas_pv-01-difference_of_changes,G-gas_pv-100-difference_of_changes
graph-gas_pv-read,3.4,100,100,True,numeric,pass,False,G-gas_pv-01-read,G-gas_pv-100-read
graph-gas_pv-secant,3.4,100,100,True,numeric,pass,False,G-gas_pv-01-secant,G-gas_pv-100-secant
graph-gas_vt-change,3.4,100,100,True,numeric,pass,False,G-gas_vt-01-change,G-gas_vt-100-change
graph-gas_vt-difference_of_changes,3.4,100,100,True,numeric,pass,False,G-gas_vt-01-difference_of_changes,G-gas_vt-100-difference_of_changes
graph-gas_vt-read,3.4,100,100,True,numeric,pass,False,G-gas_vt-01-read,G-gas_vt-100-read
graph-gas_vt-secant,3.4,100,100,True,numeric,pass,False,G-gas_vt-01-secant,G-gas_vt-100-secant
graph-gibbs_temperature-change,9.3,100,100,True,numeric,pass,False,G-gibbs_temperature-01-change,G-gibbs_temperature-100-change
graph-gibbs_temperature-difference_of_changes,9.3,100,100,True,numeric,pass,False,G-gibbs_temperature-01-difference_of_changes,G-gibbs_temperature-100-difference_of_changes
graph-gibbs_temperature-read,9.3,100,100,True,numeric,pass,False,G-gibbs_temperature-01-read,G-gibbs_temperature-100-read
graph-gibbs_temperature-secant,9.3,100,100,True,numeric,pass,False,G-gibbs_temperature-01-secant,G-gibbs_temperature-100-secant
graph-nernst-change,9.10,100,100,True,numeric,pass,False,G-nernst-01-change,G-nernst-100-change
graph-nernst-difference_of_changes,9.10,100,100,True,numeric,pass,False,G-nernst-01-difference_of_changes,G-nernst-100-difference_of_changes
graph-nernst-read,9.10,100,100,True,numeric,pass,False,G-nernst-01-read,G-nernst-100-read
graph-nernst-secant,9.10,100,100,True,numeric,pass,False,G-nernst-01-secant,G-nernst-100-secant
graph-particle_potential-change,2.2,100,100,True,numeric,pass,False,G-particle_potential-01-change,G-particle_potential-100-change
graph-particle_potential-difference_of_changes,2.2,100,100,True,numeric,pass,False,G-particle_potential-01-difference_of_changes,G-particle_potential-100-difference_of_changes
graph-particle_potential-read,2.2,100,100,True,numeric,pass,False,G-particle_potential-01-read,G-particle_potential-100-read
graph-particle_potential-secant,2.2,100,100,True,numeric,pass,False,G-particle_potential-01-secant,G-particle_potential-100-secant
graph-rate_concentration-change,5.2,100,100,True,numeric,pass,False,G-rate_concentration-01-change,G-rate_concentration-100-change
graph-rate_concentration-difference_of_changes,5.2,100,100,True,numeric,pass,False,G-rate_concentration-01-difference_of_changes,G-rate_concentration-100-difference_of_changes
graph-rate_concentration-read,5.2,100,100,True,numeric,pass,False,G-rate_concentration-01-read,G-rate_concentration-100-read
graph-rate_concentration-secant,5.2,100,100,True,numeric,pass,False,G-rate_concentration-01-secant,G-rate_concentration-100-secant
graph-reversible_relaxation-change,7.1,100,100,True,numeric,pass,False,G-reversible_relaxation-01-change,G-reversible_relaxation-100-change
graph-reversible_relaxation-difference_of_changes,7.1,100,100,True,numeric,pass,False,G-reversible_relaxation-01-difference_of_changes,G-reversible_relaxation-100-difference_of_changes
graph-reversible_relaxation-read,7.1,100,100,True,numeric,pass,False,G-reversible_relaxation-01-read,G-reversible_relaxation-100-read
graph-reversible_relaxation-secant,7.1,100,100,True,numeric,pass,False,G-reversible_relaxation-01-secant,G-reversible_relaxation-100-secant
graph-second_order-change,5.3,100,100,True,numeric,pass,False,G-second_order-01-change,G-second_order-100-change
graph-second_order-difference_of_changes,5.3,100,100,True,numeric,pass,False,G-second_order-01-difference_of_changes,G-second_order-100-difference_of_changes
graph-second_order-read,5.3,100,100,True,numeric,pass,False,G-second_order-01-read,G-second_order-100-read
graph-second_order-secant,5.3,100,100,True,numeric,pass,False,G-second_order-01-secant,G-second_order-100-secant
graph-sensible_heat-change,6.4,100,100,True,numeric,pass,False,G-sensible_heat-01-change,G-sensible_heat-100-change
graph-sensible_heat-difference_of_changes,6.4,100,100,True,numeric,pass,False,G-sensible_heat-01-difference_of_changes,G-sensible_heat-100-difference_of_changes
graph-sensible_heat-read,6.4,100,100,True,numeric,pass,False,G-sensible_heat-01-read,G-sensible_heat-100-read
graph-sensible_heat-secant,6.4,100,100,True,numeric,pass,False,G-sensible_heat-01-secant,G-sensible_heat-100-secant
graph-strong_acid_titration-change,8.5,100,100,True,numeric,pass,False,G-strong_acid_titration-01-change,G-strong_acid_titration-100-change
graph-strong_acid_titration-difference_of_changes,8.5,100,100,True,numeric,pass,False,G-strong_acid_titration-01-difference_of_changes,G-strong_acid_titration-100-difference_of_changes
graph-strong_acid_titration-read,8.5,100,100,True,numeric,pass,False,G-strong_acid_titration-01-read,G-strong_acid_titration-100-read
graph-strong_acid_titration-secant,8.5,100,100,True,numeric,pass,False,G-strong_acid_titration-01-secant,G-strong_acid_titration-100-secant
graph-synthetic_mass_spectrum-change,1.2,100,100,True,numeric,pass,False,G-synthetic_mass_spectrum-01-change,G-synthetic_mass_spectrum-100-change
graph-synthetic_mass_spectrum-difference_of_changes,1.2,100,100,True,numeric,pass,False,G-synthetic_mass_spectrum-01-difference_of_changes,G-synthetic_mass_spectrum-100-difference_of_changes
graph-synthetic_mass_spectrum-read,1.2,100,100,True,numeric,pass,False,G-synthetic_mass_spectrum-01-read,G-synthetic_mass_spectrum-100-read
graph-synthetic_mass_spectrum-secant,1.2,100,100,True,numeric,pass,False,G-synthetic_mass_spectrum-01-secant,G-synthetic_mass_spectrum-100-secant
graph-transmittance-change,3.13,100,100,True,numeric,pass,False,G-transmittance-01-change,G-transmittance-100-change
graph-transmittance-difference_of_changes,3.13,100,100,True,numeric,pass,False,G-transmittance-01-difference_of_changes,G-transmittance-100-difference_of_changes
graph-transmittance-read,3.13,100,100,True,numeric,pass,False,G-transmittance-01-read,G-transmittance-100-read
graph-transmittance-secant,3.13,100,100,True,numeric,pass,False,G-transmittance-01-secant,G-transmittance-100-secant
graph-weak_acid_concentration-change,8.3,100,100,True,numeric,pass,False,G-weak_acid_concentration-01-change,G-weak_acid_concentration-100-change
graph-weak_acid_concentration-difference_of_changes,8.3,100,100,True,numeric,pass,False,G-weak_acid_concentration-01-difference_of_changes,G-weak_acid_concentration-100-difference_of_changes
graph-weak_acid_concentration-read,8.3,100,100,True,numeric,pass,False,G-weak_acid_concentration-01-read,G-weak_acid_concentration-100-read
graph-weak_acid_concentration-secant,8.3,100,100,True,numeric,pass,False,G-weak_acid_concentration-01-secant,G-weak_acid_concentration-100-secant
graph-weak_acid_titration-change,8.5,100,100,True,numeric,pass,False,G-weak_acid_titration-01-change,G-weak_acid_titration-100-change
graph-weak_acid_titration-difference_of_changes,8.5,100,100,True,numeric,pass,False,G-weak_acid_titration-01-difference_of_changes,G-weak_acid_titration-100-difference_of_changes
graph-weak_acid_titration-read,8.5,100,100,True,numeric,pass,False,G-weak_acid_titration-01-read,G-weak_acid_titration-100-read
graph-weak_acid_titration-secant,8.5,100,100,True,numeric,pass,False,G-weak_acid_titration-01-secant,G-weak_acid_titration-100-secant
graph-zero_order-change,5.3,100,100,True,numeric,pass,False,G-zero_order-01-change,G-zero_order-100-change
graph-zero_order-difference_of_changes,5.3,100,100,True,numeric,pass,False,G-zero_order-01-difference_of_changes,G-zero_order-100-difference_of_changes
graph-zero_order-read,5.3,100,100,True,numeric,pass,False,G-zero_order-01-read,G-zero_order-100-read
graph-zero_order-secant,5.3,100,100,True,numeric,pass,False,G-zero_order-01-secant,G-zero_order-100-secant
half_life,5.3,100,100,True,numeric,pass,False,half_life-01,half_life-100
heat,6.4,100,100,True,numeric,pass,False,heat-01,heat-100
ideal_gas,3.4,100,100,True,numeric,pass,False,ideal_gas-01,ideal_gas-100
isotopes,1.2,100,100,True,numeric,pass,False,isotopes-01,isotopes-100
ksp_11,7.11,100,100,True,numeric,pass,False,ksp_11-01,ksp_11-100
ksp_12,7.11,100,100,True,numeric,pass,False,ksp_12-01,ksp_12-100
limiting,4.5,100,100,True,numeric,pass,False,limiting-01,limiting-100
molar_enthalpy,6.6,100,100,True,numeric,pass,False,molar_enthalpy-01,molar_enthalpy-100
moles,1.1,100,100,True,numeric,pass,False,moles-01,moles-100
nernst,9.10,100,100,True,numeric,pass,False,nernst-01,nernst-100
photon,3.12,100,100,True,numeric,pass,False,photon-01,photon-100
second_order,5.3,100,100,True,numeric,pass,False,second_order-01,second_order-100
strong_acid,8.2,100,100,True,numeric,pass,False,strong_acid-01,strong_acid-100
titration,4.6,100,100,True,numeric,pass,False,titration-01,titration-100
weak_acid,8.3,100,100,True,numeric,pass,False,weak_acid-01,weak_acid-100
